time,moving from index,moving to index,report
6,7,77,DAY 07/11/2024 - moved 6 animals from property ID 7 (saleyard) to property ID 77 (farm)
6,7,188,DAY 07/11/2024 - moved 6 animals from property ID 7 (saleyard) to property ID 188 (feedlot)
6,8,0,DAY 07/11/2024 - moved 1 animals from property ID 8 (farm) to property ID 0 (stud farm)
6,19,73,DAY 07/11/2024 - moved 1 animals from property ID 19 (farm) to property ID 73 (farm)
6,25,244,DAY 07/11/2024 - moved 1 animals from property ID 25 (farm) to property ID 244 (feedlot)
6,37,172,DAY 07/11/2024 - moved 1 animals from property ID 37 (farm) to property ID 172 (trader)
6,40,56,DAY 07/11/2024 - moved 6 animals from property ID 40 (farm) to property ID 56 (feedlot)
6,45,95,DAY 07/11/2024 - moved 1 animals from property ID 45 (farm) to property ID 95 (farm)
6,46,297,DAY 07/11/2024 - moved 1 animals from property ID 46 (farm) to property ID 297 (trader)
6,50,65,DAY 07/11/2024 - moved 2 animals from property ID 50 (farm) to property ID 65 (trader)
6,59,30,DAY 07/11/2024 - moved 3 animals from property ID 59 (farm) to property ID 30 (abbattoir)
6,60,297,DAY 07/11/2024 - moved 1 animals from property ID 60 (farm) to property ID 297 (trader)
6,65,250,DAY 07/11/2024 - moved 1 animals from property ID 65 (trader) to property ID 250 (farm)
6,65,240,DAY 07/11/2024 - moved 2 animals from property ID 65 (trader) to property ID 240 (feedlot)
6,84,188,DAY 07/11/2024 - moved 1 animals from property ID 84 (farm) to property ID 188 (feedlot)
6,85,77,DAY 07/11/2024 - moved 5 animals from property ID 85 (farm) to property ID 77 (farm)
6,89,100,DAY 07/11/2024 - moved 5 animals from property ID 89 (farm) to property ID 100 (saleyard)
6,117,120,DAY 07/11/2024 - moved 3 animals from property ID 117 (farm) to property ID 120 (saleyard)
6,120,9,DAY 07/11/2024 - moved 8 animals from property ID 120 (saleyard) to property ID 9 (farm)
6,128,186,DAY 07/11/2024 - moved 2 animals from property ID 128 (farm) to property ID 186 (trader)
6,139,160,DAY 07/11/2024 - moved 2 animals from property ID 139 (farm) to property ID 160 (saleyard)
6,152,172,DAY 07/11/2024 - moved 4 animals from property ID 152 (farm) to property ID 172 (trader)
6,160,283,DAY 07/11/2024 - moved 3 animals from property ID 160 (saleyard) to property ID 283 (farm)
6,160,56,DAY 07/11/2024 - moved 2 animals from property ID 160 (saleyard) to property ID 56 (feedlot)
6,160,56,DAY 07/11/2024 - moved 2 animals from property ID 160 (saleyard) to property ID 56 (feedlot)
6,160,30,DAY 07/11/2024 - moved 2 animals from property ID 160 (saleyard) to property ID 30 (abbattoir)
6,160,0,DAY 07/11/2024 - moved 2 animals from property ID 160 (saleyard) to property ID 0 (stud farm)
6,160,120,DAY 07/11/2024 - moved 2 animals from property ID 160 (saleyard) to property ID 120 (saleyard)
6,161,100,DAY 07/11/2024 - moved 14 animals from property ID 161 (farm) to property ID 100 (saleyard)
6,176,0,DAY 07/11/2024 - moved 1 animals from property ID 176 (farm) to property ID 0 (stud farm)
6,186,133,DAY 07/11/2024 - moved 3 animals from property ID 186 (trader) to property ID 133 (farm)
6,186,160,DAY 07/11/2024 - moved 3 animals from property ID 186 (trader) to property ID 160 (saleyard)
6,188,30,DAY 07/11/2024 - moved 5 animals from property ID 188 (feedlot) to property ID 30 (abbattoir)
6,188,30,DAY 07/11/2024 - moved 6 animals from property ID 188 (feedlot) to property ID 30 (abbattoir)
6,195,30,DAY 07/11/2024 - moved 1 animals from property ID 195 (farm) to property ID 30 (abbattoir)
